Start Time,End Time,Text
,,Saudi_Alula_15s_16x9_251208_v02.srt
00:00:00:04,00:00:01:06,I came to Saudi
00:00:01:06,00:00:02:21,chasing a new challenge.
00:00:03:03,00:00:04:13,But what I found here
00:00:04:13,00:00:06:03,goes far beyond the game.
00:00:06:12,00:00:08:24,And an oasis of ancient wonders
00:00:08:24,00:00:10:12,where serenity surrounds you.
00:00:10:12,00:00:11:19,I came for football.
00:00:11:19,00:00:12:19,I stayed for more.
,,Saudi_Dyriah_15s_16x9_251208_v02.srt
00:00:00:04,00:00:01:06,I came to Saudi
00:00:01:06,00:00:02:21,chasing a new challenge.
00:00:03:03,00:00:04:13,But what I found here
00:00:04:13,00:00:06:03,goes far beyond the game.
00:00:06:06,00:00:08:07,"Culture, hundreds of years old,"
00:00:09:00,00:00:10:15,still standing strong.
00:00:10:18,00:00:11:24,I came for football.
00:00:11:24,00:00:12:24,I stayed for more.
,,Saudi_Jeddah_15s_16x9_251208_v02.srt
00:00:00:03,00:00:01:05,I came to Saudi
00:00:01:05,00:00:02:20,chasing a new challenge.
00:00:03:00,00:00:04:11,But what I found here
00:00:04:11,00:00:06:00,goes far beyond the game.
00:00:06:00,00:00:07:16,"A coastal, vibrant haven."
00:00:07:17,00:00:09:06,"Warm, magnetic."
00:00:09:06,00:00:11:00,Where life flows towards the sea.
00:00:11:04,00:00:12:11,I came for football.
00:00:12:11,00:00:13:11,I stayed for more.
,,Saudi_RedSea_15s_16x9_251208_v02.srt
00:00:00:04,00:00:01:06,I came to Saudi
00:00:01:06,00:00:02:21,chasing a new challenge.
00:00:03:02,00:00:04:13,But what I found here
00:00:04:13,00:00:06:03,goes far beyond the game.
00:00:06:12,00:00:08:14,"A sea of pure, endless blue."
00:00:08:15,00:00:10:16,Where heritage meets luxury.
00:00:10:21,00:00:12:03,I came for football.
00:00:12:03,00:00:13:03,I stayed for more.
,,Saudi_Riyadh_15s_16x9_251208_v02.srt
00:00:00:08,00:00:01:10,I came to Saudi
00:00:01:10,00:00:03:00,chasing a new challenge.
00:00:03:06,00:00:04:16,But what I found here
00:00:04:16,00:00:06:06,goes far beyond the game.
00:00:06:10,00:00:09:02,Cities that make you feel alive.
00:00:09:10,00:00:11:00,Like nowhere else.
00:00:11:01,00:00:12:08,I came for football.
00:00:12:08,00:00:13:07,I stayed for more.
,,input.srt
00:00:00:03,00:00:01:09,I came to Saudi
00:00:01:09,00:00:02:18,chasing a new fire.
00:00:02:18,00:00:03:17,A new challenge.
00:00:04:02,00:00:05:17,But what I found here
00:00:05:17,00:00:07:07,goes far beyond the game.
00:00:08:13,00:00:10:03,A pure blue sea
00:00:10:10,00:00:12:00,where luxury is everywhere.
00:00:13:12,00:00:14:18,I discovered a place where
00:00:14:18,00:00:16:11, hundreds of years of culture
00:00:16:11,00:00:17:12,still stand strong.
00:00:19:24,00:00:21:11,A vibrant and magnetic
00:00:21:11,00:00:22:09, coastal city.
00:00:22:12,00:00:24:06,Where life flows towards the sea.
00:00:25:22,00:00:26:15,Places
00:00:26:15,00:00:28:05,that make you feel alive
00:00:29:11,00:00:31:01,like nowhere else.
00:00:32:01,00:00:33:16,And ancient wonders
00:00:34:17,00:00:36:00,that bring you serenity.
00:00:37:06,00:00:38:18,"I came for football,"
00:00:38:18,00:00:39:17,I stayed for more.
